PARTICIPANT ID,PRESENT2015,EVENT DISTANCE,AGE CATAGORY,SEX CATAGORY,TIME
164,1,21,50,1,02:21:22
165,,,,,
166,1,42,40,1,04:02:12
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,1,42,45,0,06:40:45
175,1,42,25,1,06:28:48
176,1,42,40,1,04:02:45
177,1,10,25,0,01:06:15
178,1,21,30,1,02:40:57
179,1,1,13,0,00:05:21
180,1,21,30,1,01:58:56
181,,,,,
182,1,42,50,0,04:08:25
183,,,,,
184,1,42,25,1,04:32:49
185,1,42,40,0,04:55:13
186,,,,,
187,,,,,
188,1,42,18,1,06:15:44
189,1,42,55,1,-1
190,,,,,
191,,,,,
192,,,,,
193,1,42,40,1,05:22:13
194,,,,,
195,1,42,18,1,05:17:38
196,,,,,
197,,,,,
198,1,21,40,0,02:46:51
199,,,,,
200,1,21,40,1,02:14:15
201,1,10,45,1,01:25:45
202,,,,,
203,1,10,30,1,00:56:42
204,1,42,40,1,06:07:21
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,1,21,40,0,03:28:19
210,,,,,
211,1,21,18,0,03:07:30
212,,,,,
213,1,42,30,1,04:52:17
214,,,,,
215,1,42,50,0,05:31:09
216,,,,,
217,1,42,30,1,05:28:19
218,,,,,
219,1,21,35,0,02:02:37
220,,,,,
221,1,42,40,1,06:21:26
222,,,,,
223,,,,,
224,1,21,40,1,01:25:12
225,,,,,
226,1,42,45,1,05:28:13
227,1,21,35,0,02:09:41
228,,,,,
229,,,,,
230,1,42,25,1,04:48:35
231,,,,,
232,1,42,18,1,03:14:20
233,,,,,
234,,,,,
235,1,42,25,0,06:13:35
236,1,21,50,0,02:42:41
237,,,,,
238,,,,,
239,1,42,40,1,04:58:03
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,1,42,18,1,04:24:39
246,,,,,
247,,,,,
248,1,42,40,0,04:57:10
249,,,,,
250,1,42,25,0,04:12:14
251,,,,,
252,,,,,
253,1,21,45,1,01:54:23
254,1,42,30,1,04:51:46
255,,,,,
256,1,42,40,1,05:09:50
257,,,,,
258,1,42,50,1,03:53:17
259,,,,,
260,,,,,
261,1,42,50,0,06:40:33
262,1,42,45,1,04:50:28
263,,,,,
264,,,,,
265,1,42,35,1,04:01:55
266,,,,,
267,,,,,
268,,,,,
269,1,42,25,1,03:30:40
270,1,42,45,1,04:17:30
271,1,21,30,1,03:53:40
272,1,42,30,1,04:01:01
273,1,21,55,1,02:21:04
274,1,42,18,1,04:04:26
275,,,,,
276,,,,,
277,1,42,50,1,05:05:46
278,1,42,35,1,03:18:08
279,1,21,40,1,01:34:21
280,,,,,
281,1,42,30,1,04:22:17
282,,,,,
283,1,42,18,1,05:00:52
284,1,42,35,0,04:57:36
285,,,,,
286,,,,,
287,1,42,40,1,03:30:51
288,,,,,
289,,,,,
290,1,42,55,1,04:44:13
291,1,42,50,1,04:40:07
292,1,10,60,1,01:01:25
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,1,21,25,1,02:41:28
298,1,42,35,1,04:22:57
299,1,42,50,0,05:13:10
300,1,21,25,1,02:53:14
301,,,,,
302,,,,,
303,1,42,50,1,05:01:17
304,,,,,
305,,,,,
306,1,42,35,1,04:36:43
307,,,,,
308,1,42,35,1,04:36:40
309,1,42,35,1,04:12:50
310,,,,,
311,1,1,13,1,00:09:04
312,,,,,
313,1,42,40,1,06:11:31
314,1,42,40,1,03:11:35
315,,,,,
316,1,42,40,1,05:28:35
317,,,,,
318,1,42,35,1,04:47:32
319,1,42,40,1,03:25:42
320,1,42,35,1,04:14:52
321,,,,,
322,,,,,
323,,,,,
324,1,21,18,0,02:41:52
325,1,10,35,1,01:07:13
326,1,42,40,1,05:57:59
327,,,,,
328,,,,,
329,,,,,
330,1,42,18,1,04:46:27
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,1,42,40,1,05:03:38
336,,,,,
337,1,42,40,1,03:19:19
338,1,21,55,1,02:06:19
339,1,42,30,1,04:20:32
340,,,,,
341,1,42,35,0,03:49:04
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,1,42,25,1,04:54:42
347,,,,,
348,1,21,18,0,02:27:17
349,,,,,
350,,,,,
351,1,21,25,1,02:14:53
352,,,,,
353,1,42,18,0,07:38:39
354,,,,,
355,1,42,45,1,04:56:59
356,1,42,35,1,04:51:05
357,,,,,
358,,,,,
359,1,21,35,1,01:36:36
360,1,42,30,1,04:52:56
361,1,10,30,1,01:01:06
362,1,42,25,1,04:34:36
363,,,,,
364,,,,,
365,1,21,18,1,03:21:23
366,1,5,45,0,01:00:46
367,,,,,
368,,,,,
369,1,42,30,1,03:59:12
370,,,,,
371,1,21,45,1,01:51:54
372,,,,,
373,1,42,55,0,05:21:41
374,1,21,40,1,01:42:32
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,1,42,55,1,05:58:35
380,1,42,30,1,06:33:46
381,1,42,35,1,04:53:15
382,1,42,45,1,05:26:17
383,,,,,
384,1,21,50,1,01:17:37
385,,,,,
386,1,21,18,1,02:10:52
387,,,,,
388,,,,,
389,,,,,
390,1,21,40,1,02:13:34
391,1,42,30,1,-1
392,1,21,35,1,01:37:59
393,1,42,40,0,03:51:54
394,1,42,65,1,04:00:02
395,1,21,40,0,03:30:32
396,1,42,45,1,03:19:28
397,1,42,40,0,04:09:03
398,,,,,
399,1,42,30,0,04:55:13
400,1,42,50,1,05:52:37
401,,,,,
402,1,21,25,1,01:25:14
403,1,42,35,1,04:27:38
404,,,,,
405,,,,,
406,1,42,35,1,06:00:13
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,1,42,40,1,04:40:26
412,1,42,45,0,04:12:31
413,1,42,40,1,06:25:56
414,1,42,45,1,03:59:15
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,1,42,60,1,05:27:03
426,,,,,
427,1,21,25,1,01:45:50
428,,,,,
429,1,10,45,0,01:10:16
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,1,42,45,1,03:59:40
436,1,42,55,1,04:07:37
437,,,,,
438,,,,,
439,1,42,15,0,05:24:59
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,1,42,45,1,04:01:25
445,,,,,
446,,,,,
447,,,,,
448,1,42,45,1,04:10:13
449,,,,,
450,,,,,
451,1,42,18,1,03:46:19
452,,,,,
453,,,,,
454,1,42,35,1,03:35:13
455,,,,,
456,1,42,30,1,03:36:42
457,1,42,30,0,04:10:31
458,1,21,65,1,03:55:28
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,1,42,35,1,03:18:11
468,,,,,
469,1,42,25,1,03:15:19
470,,,,,
471,1,21,40,1,02:18:31
472,,,,,
473,,,,,
474,,,,,
475,1,42,55,1,04:17:32
476,,,,,
477,,,,,
478,1,42,35,1,04:40:38
479,1,42,35,1,03:29:19
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,1,42,30,0,05:41:26
486,,,,,
487,1,21,50,0,02:03:57
488,1,42,30,1,03:56:31
489,,,,,
490,1,42,30,1,02:45:25
491,1,42,30,1,05:19:52
492,,,,,
493,1,42,30,0,04:16:56
494,1,42,45,1,05:09:14
495,,,,,
496,1,21,50,1,01:39:45
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,1,21,25,0,02:00:02
503,,,,,
504,1,10,40,0,01:00:56
505,,,,,
506,,,,,
507,,,,,
508,1,42,45,1,03:24:22
509,1,21,30,1,02:15:37
510,,,,,
511,1,21,45,1,01:54:01
512,,,,,
513,,,,,
514,1,21,35,1,02:08:02
515,1,5,50,1,00:37:10
516,,,,,
517,,,,,
518,1,42,50,1,04:37:51
519,1,5,35,1,00:25:53
520,1,42,18,1,04:05:50
521,,,,,
522,,,,,
523,1,42,35,1,04:13:38
524,1,42,35,1,04:34:12
525,1,42,25,1,04:30:25
526,1,21,30,1,01:30:07
527,,,,,
528,,,,,
529,,,,,
530,,,,,
531,,,,,
532,,,,,
533,,,,,
534,1,42,18,1,04:19:29
535,1,42,35,0,04:53:45
536,1,42,30,0,05:55:49
537,1,42,18,1,05:00:44
538,1,42,50,1,05:20:59
539,1,42,35,1,03:28:51
540,1,42,30,0,04:55:58
541,,,,,
542,1,42,45,0,06:25:53
543,,,,,
544,1,42,40,0,03:58:57
545,,,,,
546,,,,,
547,1,10,18,0,01:03:03
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,1,21,55,1,01:36:28
553,1,42,18,1,05:15:09
554,,,,,
555,,,,,
556,1,42,40,1,05:00:26
557,,,,,
558,1,21,45,1,02:16:50
559,1,21,45,0,02:40:16
560,1,42,35,1,04:10:07
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,1,21,50,1,02:26:39
566,1,1,13,1,00:10:22
567,1,42,18,1,04:46:57
568,,,,,
569,,,,,
570,1,42,18,1,05:22:38
571,,,,,
572,,,,,
573,1,42,45,1,04:59:02
574,1,42,30,1,04:27:31
575,1,42,40,1,03:29:38
576,,,,,
577,1,42,50,1,04:18:24
578,1,42,30,1,04:35:14
579,,,,,
580,1,42,55,1,03:51:56
581,,,,,
582,,,,,
583,,,,,
584,1,42,30,1,04:19:45
585,1,42,55,1,03:42:13
586,,,,,
587,1,42,35,1,04:30:23
588,,,,,
589,,,,,
590,,,,,
591,1,42,18,1,03:58:05
592,,,,,
593,1,21,25,1,01:30:54
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,1,42,40,1,05:44:36
599,,,,,
600,1,21,45,1,01:37:54
601,1,42,30,0,04:55:07
602,1,42,35,0,04:44:52
603,,,,,
604,1,42,25,1,06:50:08
605,1,10,45,0,01:50:51
606,,,,,
607,1,42,25,1,04:25:56
608,1,42,50,0,05:10:11
609,,,,,
610,,,,,
611,,,,,
612,1,42,45,1,04:09:18
613,,,,,
614,1,42,18,1,04:59:52
615,,,,,
616,1,42,35,1,05:43:59
617,1,21,40,1,03:12:05
618,1,42,45,1,04:10:23
619,,,,,
620,,,,,
621,1,21,50,0,02:46:49
622,,,,,
623,1,42,18,1,03:41:56
624,,,,,
625,1,42,30,1,03:38:25
626,,,,,
627,1,42,50,0,06:10:48
628,,,,,
629,,,,,
630,1,42,40,1,04:47:54
631,,,,,
632,,,,,
633,1,42,40,1,05:59:42
634,,,,,
635,1,42,50,1,05:32:21
636,,,,,
637,,,,,
638,1,42,45,1,03:34:29
639,1,21,35,1,01:46:28
640,1,5,60,1,01:05:20
641,1,42,40,1,03:53:32
642,,,,,
643,1,21,45,1,03:32:28
644,1,42,50,1,04:08:33
645,,,,,
646,1,21,25,0,02:30:17
647,1,42,40,1,05:05:26
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,1,21,55,1,02:16:04
653,1,21,35,1,01:33:16
654,,,,,
655,,,,,
656,1,42,40,1,03:34:05
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,1,10,35,0,00:58:41
664,1,21,35,0,02:26:12
665,,,,,
666,,,,,
667,1,21,50,0,03:16:32
668,,,,,
669,,,,,
670,1,42,55,1,04:18:37
671,,,,,
672,,,,,
673,1,42,45,1,03:41:56
674,,,,,
675,1,42,30,1,03:54:46
676,,,,,
677,,,,,
678,1,42,45,1,04:50:12
679,,,,,
680,,,,,
681,1,42,45,0,04:31:56
682,1,42,45,0,04:48:03
683,1,42,40,1,04:27:49
684,,,,,
685,1,42,18,0,04:33:10
686,1,42,40,1,04:27:51
687,,,,,
688,1,42,55,1,03:45:21
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,1,42,45,1,04:04:30
694,,,,,
695,1,42,25,1,03:29:24
696,1,42,25,1,05:52:58
697,1,5,30,0,00:42:46
698,1,42,35,1,03:14:04
699,,,,,
700,1,1,13,1,00:05:52
701,1,42,30,1,03:50:30
702,1,42,30,1,04:45:16
703,1,21,25,0,02:20:33
704,,,,,
705,,,,,
706,,,,,
707,1,21,35,1,02:21:49
708,1,21,40,1,02:26:07
709,1,42,35,1,04:08:51
710,,,,,
711,,,,,
712,,,,,
713,1,10,40,1,01:03:10
714,,,,,
715,1,42,18,1,03:53:10
716,1,10,30,1,00:45:46
717,1,42,50,1,04:29:25
718,,,,,
719,1,42,45,1,04:08:29
720,,,,,
721,,,,,
722,,,,,
723,1,42,50,1,04:19:14
724,,,,,
725,1,21,50,1,01:56:27
726,,,,,
727,,,,,
728,1,42,40,1,03:50:35
729,1,42,35,1,04:00:45
730,1,42,50,1,03:55:58
731,,,,,
732,1,21,45,1,02:15:35
733,,,,,
734,,,,,
735,1,42,35,1,03:32:47
736,,,,,
737,,,,,
738,,,,,
739,1,21,25,1,02:49:04
740,1,42,40,1,04:28:01
741,,,,,
742,1,5,35,0,01:06:21
743,1,21,50,1,02:53:20
744,,,,,
745,1,42,40,1,05:00:43
746,1,42,30,1,05:11:19
747,1,42,25,1,04:06:58
748,,,,,
749,,,,,
750,1,21,25,0,02:23:34
751,,,,,
752,,,,,
753,1,21,45,1,01:39:39
754,1,42,40,1,04:56:33
755,,,,,
756,1,5,35,0,00:45:19
757,,,,,
758,,,,,
759,1,42,40,1,03:35:00
760,1,42,55,1,04:33:33
761,,,,,
762,1,21,35,1,02:22:34
763,,,,,
764,1,42,45,1,04:06:44
765,,,,,
766,1,42,30,0,05:06:06
767,,,,,
768,1,42,,,-1
769,1,21,35,1,02:24:33
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,1,42,60,1,06:28:53
775,,,,,
776,,,,,
777,,,,,
778,1,42,40,1,03:20:32
779,1,42,18,1,04:31:02
780,1,42,45,1,06:03:19
781,,,,,
782,1,42,25,0,04:48:58
783,,,,,
784,1,5,50,1,00:43:59
785,1,42,35,0,04:52:42
786,1,42,30,1,05:41:14
787,,,,,
788,,,,,
789,1,42,25,1,05:07:45
790,1,42,55,1,04:41:17
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,1,42,35,1,04:06:50
796,1,21,55,1,02:21:26
797,,,,,
798,,,,,
799,,,,,
800,1,42,35,1,03:37:16
801,,,,,
802,1,42,45,0,05:29:07
803,1,21,50,0,01:39:20
804,,,,,
805,1,42,35,0,03:32:31
806,,,,,
807,1,42,35,0,05:43:36
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,1,42,45,1,04:15:00
813,,,,,
814,,,,,
815,,,,,
816,1,42,40,1,04:50:45
817,1,5,18,1,00:39:08
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,1,42,30,1,02:59:52
827,1,42,50,1,03:49:05
828,,,,,
829,,,,,
830,1,42,40,1,03:52:53
831,1,42,18,0,05:36:29
832,,,,,
833,,,,,
834,1,42,55,1,05:55:31
835,,,,,
836,1,42,25,1,04:36:22
837,,,,,
838,1,42,25,1,03:57:13
839,1,42,25,0,04:48:36
840,,,,,
841,1,10,50,1,00:55:18
842,1,21,30,1,01:29:07
843,1,1,13,1,00:07:26
844,1,42,25,1,05:01:23
845,1,21,30,1,02:19:49
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,1,42,18,1,05:10:16
854,,,,,
855,,,,,
856,,,,,
857,1,42,35,1,05:22:01
858,,,,,
859,1,42,55,1,05:24:08
860,1,42,18,1,04:26:27
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,1,42,18,1,03:38:53
867,,,,,
868,1,42,45,1,05:48:01
869,1,42,18,1,-1
870,,,,,
871,1,42,25,0,05:09:39
872,,,,,
873,1,42,45,0,03:37:08
874,,,,,
875,,,,,
876,,,,,
877,1,42,25,1,05:01:06
878,,,,,
879,1,42,30,1,-1
880,1,42,40,1,03:49:45
881,1,42,50,0,04:18:25
882,,,,,
883,1,42,35,0,05:44:18
884,,,,,
885,,,,,
886,,,,,
887,1,42,35,1,03:59:26
888,,,,,
889,1,21,40,1,02:15:03
890,1,1,13,0,00:06:04
891,1,42,40,1,04:38:01
892,,,,,
893,,,,,
894,,,,,
895,1,42,40,0,04:21:54
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,1,21,35,1,01:44:46
902,1,21,18,1,03:00:45
903,,,,,
904,1,21,45,0,02:45:41
905,,,,,
906,,,,,
907,,,,,
908,1,42,50,1,03:55:24
909,,,,,
910,1,21,40,1,01:42:48
911,1,21,25,1,03:17:59
912,1,10,35,1,00:48:14
913,1,42,25,0,05:21:14
914,1,42,30,0,05:09:26
915,1,42,45,0,04:43:18
916,1,42,25,1,06:05:22
917,,,,,
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,1,21,45,1,03:56:18
923,1,42,55,1,05:01:24
924,,,,,
925,1,42,35,1,03:29:55
926,1,21,50,1,02:26:43
927,,,,,
928,1,10,40,1,00:37:29
929,1,42,25,0,04:04:59
930,1,42,40,1,04:19:11
931,1,21,55,1,02:59:46
932,,,,,
933,,,,,
934,1,42,35,1,04:50:18
935,1,21,50,1,01:48:38
936,,,,,
937,1,42,50,1,-1
938,1,42,30,0,06:28:10
939,,,,,
940,1,42,45,1,04:03:17
941,,,,,
942,1,42,18,0,05:18:58
943,1,42,50,1,03:27:50
944,1,42,35,1,05:58:48
945,1,42,35,0,05:51:32
946,1,42,18,1,03:01:49
947,,,,,
948,1,42,50,1,05:31:15
949,1,42,18,0,04:54:42
950,,,,,
951,1,42,30,0,04:21:31
952,,,,,
953,1,42,25,0,05:39:43
954,1,42,35,1,-1
955,1,21,55,1,02:55:09
956,,,,,
957,1,42,50,0,06:03:33
958,1,42,40,1,04:31:26
959,1,42,35,0,03:50:41
960,,,,,
961,,,,,
962,1,1,5,1,00:08:29
963,1,42,30,0,06:18:16
964,1,42,18,1,04:22:14
965,1,42,45,1,03:17:30
966,,,,,
967,,,,,
968,1,42,35,1,04:19:21
969,1,21,45,1,02:03:11
970,1,42,50,0,05:01:45
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,
976,,,,,
977,,,,,
978,1,42,25,1,05:16:44
979,1,42,30,0,05:12:21
980,1,42,40,0,05:09:05
981,,,,,
982,,,,,
983,1,21,45,1,02:58:52
984,,,,,
985,,,,,
986,1,21,25,1,01:35:00
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,1,42,35,1,03:28:06
995,1,42,50,0,05:34:51
996,,,,,
997,1,42,25,1,05:03:38
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,1,21,50,0,02:01:36
1004,,,,,
1005,1,42,45,0,05:01:14
1006,,,,,
1007,,,,,
1008,1,42,30,0,03:55:29
1009,,,,,
1010,1,21,35,1,01:36:55
1011,,,,,
1012,1,42,45,1,04:23:34
1013,,,,,
1014,,,,,
1015,1,42,50,0,06:40:45
1016,,,,,
1017,1,21,45,1,03:10:43
1018,,,,,
1019,,,,,
1020,,,,,
1021,1,42,35,1,04:57:50
1022,,,,,
1023,1,42,40,1,04:49:36
1024,,,,,
1025,1,42,35,1,05:16:22
1026,,,,,
1027,,,,,
1028,,,,,
1029,1,42,35,0,04:56:32
1030,,,,,
1031,,,,,
1032,,,,,
1033,,,,,
1034,1,42,35,1,04:55:50
1035,1,21,45,1,02:08:56
1036,,,,,
1037,,,,,
1038,,,,,
1039,1,42,25,1,04:14:31
1040,1,21,45,0,02:13:12
1041,1,42,35,1,03:26:14
1042,,,,,
1043,1,42,18,1,05:02:55
1044,1,42,50,1,-1
1045,,,,,
1046,,,,,
1047,,,,,
1048,,,,,
1049,1,42,40,1,04:07:07
1050,,,,,
1051,1,42,30,1,04:53:50
1052,,,,,
1053,,,,,
1054,1,42,40,1,04:33:16
1055,1,21,50,1,01:52:33
1056,1,21,18,0,02:54:03
1057,1,42,55,1,03:32:29
1058,,,,,
1059,1,42,30,1,04:30:16
1060,1,21,40,1,02:12:25
1061,1,42,40,1,03:22:24
1062,,,,,
1063,1,21,55,1,02:17:21
1064,1,42,45,1,03:00:36
1065,,,,,
1066,,,,,
1067,,,,,
1068,,,,,
1069,,,,,
1070,1,21,55,1,03:18:49
1071,1,42,40,1,04:51:02
1072,,,,,
1073,1,42,25,1,05:38:02
1074,1,42,30,1,04:24:51
1075,,,,,
1076,,,,,
1077,,,,,
1078,1,42,30,1,03:42:26
1079,,,,,
1080,,,,,
1081,1,42,30,1,04:37:29
1082,,,,,
1083,1,21,40,0,02:59:05
1084,1,42,25,0,04:27:45
1085,,,,,
1086,1,42,55,0,05:12:40
1087,,,,,
1088,,,,,
1089,,,,,
1090,,,,,
1091,1,42,25,0,04:17:00
1092,1,21,35,1,01:58:12
1093,,,,,
1094,1,21,45,0,02:35:40
1095,1,42,40,0,05:07:27
1096,,,,,
1097,,,,,
1098,1,42,25,0,03:45:21
1099,,,,,
1100,1,42,18,1,04:56:25
1101,,,,,
1102,,,,,
1103,1,10,50,0,01:30:49
1104,1,21,35,1,01:36:40
1105,,,,,
1106,,,,,
1107,,,,,
1108,,,,,
1109,1,42,30,1,02:59:10
1110,,,,,
1111,,,,,
1112,1,42,40,1,03:49:01
1113,1,42,40,1,04:31:20
1114,1,42,18,1,03:39:20
1115,,,,,
1116,,,,,
1117,1,42,40,1,05:53:40
1118,,,,,
1119,1,42,35,1,04:41:49
1120,,,,,
1121,1,42,35,1,06:22:34
1122,,,,,
1123,,,,,
1124,1,42,15,1,03:56:17
1125,1,42,45,0,05:19:29
1126,1,42,25,0,-1
1127,1,42,40,1,03:39:45
1128,1,42,25,1,03:59:28
1129,,,,,
1130,,,,,
1131,1,42,50,1,03:38:54
1132,1,42,50,1,04:02:01
1133,,,,,
1134,1,42,50,0,04:22:36
1135,,,,,
1136,,,,,
1137,,,,,
1138,,,,,
1139,,,,,
1140,,,,,
1141,1,21,40,0,02:12:24
1142,1,42,50,1,04:09:15
1143,,,,,
1144,,,,,
1145,,,,,
1146,,,,,
1147,,,,,
1148,1,42,25,1,07:07:38
1149,1,42,30,0,04:58:19
1150,1,42,18,1,06:07:21
1151,1,42,30,1,03:23:25
1152,,,,,
1153,1,42,45,1,04:52:03
1154,,,,,
1155,,,,,
1156,1,21,40,1,02:44:11
1157,,,,,
1158,1,21,40,1,01:40:43
1159,,,,,
1160,,,,,
1161,,,,,
1162,,,,,
1163,1,21,25,1,02:43:13
1164,1,42,50,1,04:00:23
1165,1,42,30,1,03:28:56
1166,1,42,30,1,03:39:50
1167,,,,,
1168,,,,,
1169,1,21,40,1,01:32:56
1170,,,,,
1171,1,42,30,1,05:10:39
1172,1,10,50,1,00:50:19
1173,1,42,35,1,05:31:32
1174,1,21,40,0,01:57:34
1175,1,21,30,1,03:02:22
1176,1,21,35,0,03:20:47
1177,1,21,55,1,01:56:00
1178,1,42,15,1,04:29:24
1179,,,,,
1180,1,42,60,1,05:48:26
1181,,,,,
1182,,,,,
1183,,,,,
1184,,,,,
1185,1,42,35,1,04:52:22
1186,,,,,
1187,,,,,
1188,,,,,
1189,1,42,40,0,05:12:00
1190,,,,,
1191,1,21,25,0,03:06:46
1192,1,5,45,1,00:26:20
1193,,,,,
1194,,,,,
1195,1,42,25,0,04:15:54
1196,,,,,
1197,1,21,60,1,02:01:10
1198,1,42,25,1,03:37:03
1199,,,,,
1200,1,42,40,0,04:00:16
1201,,,,,
1202,1,42,45,1,02:56:14
1203,,,,,
1204,1,42,35,1,04:34:03
1205,,,,,
1206,1,10,55,1,01:18:09
1207,1,42,35,0,03:35:48
1208,,,,,
1209,1,21,25,1,01:40:42
1210,,,,,
1211,1,42,25,0,05:10:39
1212,,,,,
1213,,,,,
1214,1,42,40,1,04:05:27
1215,,,,,
1216,1,42,60,1,05:41:17
1217,,,,,
1218,,,,,
1219,,,,,
1220,1,42,40,1,04:01:09
1221,,,,,
