PARTICIPANT ID,PRESENT2015,PRESENT2014,PRESENT2013,PRESENT2012,NUMOASIS
180,1,0,0,0,0
181,0,1,0,0,1
182,1,0,0,0,0
183,0,1,0,0,1
184,1,0,0,0,0
185,1,0,0,1,2
186,0,0,0,0,1
187,0,0,1,0,1
188,1,0,0,0,0
189,1,0,0,1,1
190,0,1,0,0,1
191,0,1,0,0,1
192,0,1,0,0,1
193,1,0,0,0,0
194,0,0,0,1,1
195,1,0,0,0,0
196,0,1,0,0,1
197,0,0,1,1,3
198,1,0,1,0,3
199,0,0,1,0,1
200,1,0,0,0,0
201,1,0,0,0,0
202,0,1,1,1,3
203,1,0,0,0,0
204,1,0,0,0,0
205,0,1,1,0,2
206,0,0,1,0,1
207,0,1,0,1,3
208,0,1,0,0,1
209,1,0,0,0,0
210,0,0,1,0,1
211,1,0,0,0,0
212,0,0,0,1,2
213,1,0,0,0,0
214,0,0,1,0,2
215,1,0,0,1,1
216,0,1,0,0,1
217,1,0,0,0,3
218,0,1,0,0,1
219,1,0,0,0,0
220,0,1,0,0,1
221,1,1,1,0,2
222,0,0,0,1,1
223,0,0,1,0,1
224,1,1,0,0,1
225,0,0,0,1,1
226,1,0,0,0,0
227,1,0,0,0,0
228,0,0,1,0,1
229,0,1,0,0,2
230,1,0,0,0,0
231,0,0,0,1,1
232,1,0,0,0,0
233,0,1,0,0,1
234,0,1,0,0,1
235,1,0,0,0,0
236,1,1,1,0,2
237,0,0,1,0,2
238,0,0,1,0,1
239,1,0,0,0,0
240,0,0,1,0,1
241,0,0,1,0,1
242,0,0,0,1,1
243,0,0,0,1,1
244,0,1,0,0,1
245,1,0,0,0,0
246,0,0,1,0,1
247,0,1,0,0,1
248,1,0,0,0,0
249,0,0,1,0,2
250,1,0,0,0,0
251,0,0,0,0,1
252,0,0,1,0,1
253,1,0,0,0,0
254,1,0,0,0,0
255,0,1,0,0,1
256,1,0,0,0,0
257,0,0,0,1,1
258,1,0,1,0,1
259,0,1,0,0,2
260,0,1,1,0,2
261,1,0,0,0,0
262,1,0,0,0,0
263,0,1,0,0,1
264,0,1,0,0,1
265,1,1,0,0,1
266,0,1,1,0,2
267,0,0,1,0,1
268,0,1,0,0,1
269,1,0,0,0,0
270,1,0,0,0,2
271,1,0,0,0,0
272,1,0,0,0,0
273,1,0,0,0,0
274,1,0,0,0,1
275,0,0,1,1,2
276,0,1,0,0,1
277,1,0,0,0,0
278,1,0,0,0,0
279,1,0,0,0,0
280,0,0,1,0,1
281,1,0,0,0,0
282,0,1,0,1,2
283,1,0,0,0,0
284,1,0,0,0,2
285,0,1,0,0,1
286,0,0,1,0,1
287,1,0,0,0,0
288,0,1,0,0,1
289,0,1,0,0,1
290,1,0,0,0,0
291,1,0,0,0,0
292,1,0,0,0,0
293,0,0,0,1,1
294,0,0,1,0,1
295,0,1,0,0,1
296,0,0,1,1,2
297,1,0,0,0,0
298,1,0,0,0,0
299,1,0,0,0,1
300,1,0,0,0,0
301,0,1,0,0,1
302,0,0,0,0,1
303,1,0,0,0,0
304,0,1,0,0,1
305,0,0,0,1,1
306,1,0,0,0,0
307,0,0,1,1,2
308,1,0,0,0,0
309,1,0,0,0,0
310,0,0,0,1,2
311,1,0,0,0,0
312,0,0,0,1,1
313,1,0,0,0,0
314,1,0,0,0,0
315,0,0,0,1,1
316,1,0,0,0,1
317,0,0,1,0,1
318,1,0,0,0,0
319,1,0,1,1,2
320,1,0,0,0,0
321,0,1,1,1,3
322,0,0,1,0,1
323,0,0,0,0,1
324,1,0,0,0,0
325,1,0,0,0,0
326,1,0,0,0,0
327,0,1,0,0,1
328,0,1,0,0,2
329,0,1,0,0,1
330,1,0,0,0,0
331,0,1,0,0,1
332,0,0,0,1,3
333,0,0,1,0,1
334,0,1,0,0,2
335,1,0,0,0,3
336,0,0,1,0,1
337,1,0,1,0,2
338,1,0,0,0,0
339,1,0,0,0,0
340,0,0,0,0,1
341,1,0,0,0,1
342,0,1,0,0,1
343,0,0,1,0,1
344,0,0,0,1,1
345,0,0,0,1,2
346,1,0,0,0,0
347,0,0,1,0,1
348,1,1,0,0,2
349,0,0,1,0,2
350,0,0,1,1,2
351,1,0,0,0,0
352,0,0,1,0,1
353,1,1,0,0,2
354,0,1,0,0,1
355,1,0,0,0,2
356,1,0,0,0,0
357,0,0,0,1,1
358,0,0,0,1,1
359,1,1,0,0,3
360,1,0,0,0,0
361,1,0,0,0,0
362,1,0,0,0,0
363,0,0,0,1,1
364,0,0,1,0,2
365,1,0,0,0,0
366,1,0,0,0,0
367,0,0,1,0,1
368,0,0,0,1,1
369,1,0,0,0,0
370,0,1,0,0,1
371,1,0,1,0,1
372,0,1,0,0,1
373,1,0,0,0,0
374,1,0,0,0,0
375,0,1,0,0,1
376,0,1,0,0,1
377,0,0,1,0,1
378,0,0,1,0,1
379,1,1,1,0,2
380,1,0,0,0,0
381,1,0,0,0,0
382,1,0,0,0,0
383,0,0,1,0,1
384,1,1,0,0,2
385,0,0,0,0,1
386,1,0,0,0,0
387,0,1,0,1,2
388,0,0,0,0,1
389,0,1,0,0,1
390,1,0,0,0,0
391,1,0,0,0,0
392,1,0,0,0,0
393,1,0,0,0,0
394,1,0,0,0,0
395,1,0,0,0,0
396,1,0,0,0,0
397,1,0,0,0,0
398,0,1,0,0,1
399,1,0,0,0,0
400,1,0,0,0,0
401,0,1,0,0,1
402,1,0,0,0,0
403,1,0,0,0,0
404,0,0,1,0,3
405,0,0,1,0,2
406,1,0,0,0,0
407,0,0,0,1,1
408,0,0,0,1,1
409,0,0,1,0,2
410,0,0,1,0,1
411,1,0,0,0,0
412,1,0,0,0,1
413,1,0,0,0,0
414,1,0,0,0,1
415,0,0,0,1,2
416,0,1,0,0,1
417,0,1,0,0,1
418,0,0,0,1,1
419,0,1,0,0,3
420,0,1,1,0,3
421,0,0,1,1,2
422,0,0,1,0,1
423,0,0,0,1,1
424,0,1,0,0,3
425,1,0,0,0,3
426,0,1,0,0,2
427,1,0,0,0,0
428,0,0,0,1,1
429,1,0,0,0,0
430,0,0,1,0,1
431,0,0,0,1,1
432,0,1,1,0,3
433,0,1,0,0,1
434,0,1,0,0,1
435,1,0,0,0,0
436,1,0,0,0,0
437,0,0,1,0,2
438,0,0,0,1,1
439,1,0,0,0,0
440,0,1,0,0,1
441,0,1,0,0,1
442,0,0,0,1,1
443,0,0,0,1,1
444,1,0,0,0,0
445,0,0,1,0,2
446,0,0,1,0,1
447,0,0,0,1,1
448,1,0,0,0,0
449,0,0,1,0,2
450,0,0,1,0,1
451,1,1,0,0,1
452,0,0,1,0,1
453,0,1,0,0,1
454,1,0,0,0,0
455,0,1,0,0,1
456,1,0,0,0,2
457,1,0,0,0,0
458,1,0,0,0,0
459,0,1,0,0,1
460,0,0,1,0,1
461,0,0,1,0,1
462,0,0,0,1,1
463,0,1,0,0,1
464,0,1,0,0,1
465,0,0,1,0,1
466,0,0,0,0,1
467,1,0,0,0,0
468,0,0,1,1,2
469,1,0,0,0,0
470,0,1,0,0,1
471,1,0,0,0,0
472,0,0,0,0,1
473,0,0,1,0,1
474,0,0,0,1,1
475,1,0,0,0,0
476,0,0,1,1,3
477,0,1,0,0,1
478,1,1,0,0,1
479,1,0,0,0,0
480,0,1,0,0,1
481,0,1,0,0,1
482,0,0,0,1,1
483,0,1,0,0,1
484,0,0,1,0,1
485,1,0,0,0,0
486,0,0,1,0,1
487,1,0,0,1,1
488,1,0,0,0,0
489,0,0,1,1,2
490,1,0,0,0,2
491,1,0,0,0,0
492,0,0,1,0,2
493,1,0,0,0,0
494,1,0,0,0,0
495,0,0,0,1,1
496,1,0,0,0,0
497,0,0,0,1,1
498,0,0,0,1,1
499,0,1,0,0,1
500,0,0,1,1,2
501,0,0,0,1,1
502,1,0,0,0,0
503,0,1,0,0,1
504,1,0,0,0,0
505,0,0,0,1,1
506,0,0,1,0,1
507,0,1,0,0,2
508,1,0,0,0,0
509,1,0,0,0,0
510,0,0,1,0,2
511,1,0,0,0,0
512,0,1,0,0,1
513,0,0,0,0,1
514,1,1,0,0,1
515,1,0,0,1,3
516,0,0,0,0,1
517,0,0,0,1,1
518,1,0,0,0,0
519,1,0,0,0,0
520,1,0,0,0,0
521,0,0,1,0,1
522,0,0,1,0,1
523,1,1,0,0,1
524,1,0,0,0,0
525,1,0,0,0,0
526,1,0,0,0,0
527,0,1,0,0,1
528,0,1,0,0,2
529,0,1,0,0,1
530,0,0,1,0,1
531,0,1,0,0,2
532,0,1,0,0,1
533,0,0,0,1,2
534,1,0,0,0,0
535,1,0,0,0,0
536,1,0,0,0,0
537,1,0,0,0,0
538,1,0,0,0,0
539,1,0,0,0,0
540,1,0,0,0,0
541,0,0,1,0,1
542,1,0,0,0,0
543,0,1,0,0,1
544,1,0,0,0,0
545,0,0,0,0,3
546,0,1,0,0,1
547,1,0,0,0,0
548,0,1,0,1,2
549,0,0,1,0,1
550,0,1,0,0,1
551,0,0,0,1,2
552,1,0,0,0,0
553,1,0,0,0,0
554,0,0,1,0,1
555,0,0,1,0,1
556,1,0,0,0,0
557,0,0,1,0,1
558,1,0,0,0,1
559,1,0,0,0,0
560,1,0,0,0,0
561,0,1,0,0,1
562,0,1,0,0,1
563,0,0,1,0,1
564,0,0,1,1,2
565,1,0,0,0,0
566,1,0,0,0,0
567,1,0,0,0,0
568,0,0,0,0,1
569,0,0,1,0,1
570,1,0,0,0,0
571,0,1,0,0,1
572,0,0,0,1,1
573,1,0,0,0,0
574,1,0,0,0,0
575,1,0,0,0,0
576,0,1,0,0,1
577,1,1,1,1,3
578,1,0,0,0,0
579,0,0,1,0,1
580,1,0,0,0,0
581,0,0,1,0,1
582,0,1,0,0,1
583,0,1,0,0,1
584,1,0,0,0,0
585,1,0,0,0,0
586,0,0,1,0,1
587,1,0,0,0,0
588,0,1,1,0,3
589,0,1,0,0,1
590,0,1,0,0,2
591,1,0,0,0,0
592,0,1,0,0,1
593,1,1,0,0,1
594,0,0,0,1,1
595,0,0,0,1,1
596,0,1,0,0,1
597,0,0,1,0,1
598,1,0,0,0,0
599,0,0,0,0,1
600,1,0,0,0,1
601,1,0,0,0,0
602,1,0,0,0,0
603,0,0,1,0,2
604,1,0,0,0,0
605,1,0,0,0,0
606,0,0,1,0,2
607,1,0,0,0,0
608,1,0,0,0,0
609,0,0,0,1,1
610,0,0,0,1,1
611,0,0,1,0,1
612,1,0,0,0,0
613,0,0,1,1,2
614,1,0,0,0,0
615,0,0,1,0,1
616,1,0,0,0,0
617,1,0,0,0,0
618,1,0,0,0,0
619,0,1,0,0,1
620,0,1,0,0,1
621,1,0,0,0,0
622,0,1,0,0,1
623,1,0,0,0,0
624,0,0,1,0,2
625,1,0,0,0,0
626,0,0,1,0,1
627,1,0,0,0,0
628,0,1,0,0,2
629,0,1,0,0,2
630,1,0,0,0,0
631,0,1,0,0,1
632,0,0,1,0,1
633,1,0,0,0,0
634,0,0,0,1,1
635,1,1,0,1,2
636,0,0,0,1,1
637,0,0,0,1,1
638,1,1,1,0,2
639,1,0,0,0,0
640,1,0,0,0,0
641,1,0,0,0,0
642,0,0,0,1,2
643,1,0,0,0,0
644,1,0,0,0,0
645,0,0,1,0,2
646,1,0,0,0,0
647,1,0,0,0,0
648,0,1,0,0,1
649,0,0,1,0,1
650,0,0,0,1,1
651,0,0,1,0,1
652,1,0,0,0,0
653,1,0,1,0,2
654,0,1,0,0,3
655,0,0,0,1,1
656,1,0,0,0,0
657,0,1,1,0,2
658,0,0,1,0,1
659,0,0,0,1,1
660,0,0,1,0,1
661,0,1,0,0,1
662,0,0,0,1,1
663,1,0,0,0,0
664,1,1,0,1,2
665,0,0,0,1,1
666,0,0,1,0,1
667,1,0,0,0,1
668,0,0,0,0,2
669,0,0,0,1,2
670,1,0,0,0,0
671,0,1,0,1,2
672,0,1,0,0,1
673,1,0,1,1,2
674,0,0,0,1,2
675,1,0,0,0,0
676,0,0,1,0,2
677,0,0,1,0,1
678,1,0,0,0,0
679,0,0,0,0,1
680,0,1,0,0,1
681,1,0,0,0,1
682,1,0,0,0,0
683,1,0,0,0,0
684,0,0,1,0,1
685,1,0,0,0,0
686,1,0,0,0,0
687,0,0,1,0,2
688,1,0,0,0,0
689,0,1,0,0,1
690,0,1,0,0,2
691,0,1,0,0,1
692,0,0,1,0,2
693,1,0,0,0,0
694,0,0,1,0,1
695,1,0,0,0,0
696,1,0,0,0,0
697,1,0,0,0,0
698,1,0,0,0,0
699,0,1,0,1,3
700,1,0,0,0,0
701,1,0,0,0,0
702,1,0,0,0,0
703,1,0,0,0,0
704,0,0,1,0,1
705,0,0,0,1,1
706,0,0,0,1,1
707,1,0,0,0,0
708,1,0,0,1,2
709,1,0,0,0,0
710,0,0,0,1,1
711,0,1,0,0,1
712,0,1,0,0,1
713,1,0,0,0,0
714,0,1,0,0,1
715,1,0,0,0,0
716,1,0,0,0,1
717,1,0,0,0,0
718,0,0,1,0,1
719,1,0,0,0,0
720,0,0,1,0,1
721,0,1,0,1,3
722,0,1,0,0,1
723,1,0,0,0,0
724,0,1,0,1,2
725,1,0,0,0,0
726,0,0,0,0,1
727,0,1,0,0,1
728,1,0,0,0,0
729,1,0,0,0,0
730,1,0,0,0,0
731,0,0,1,0,1
732,1,0,0,0,0
733,0,0,0,1,2
734,0,1,0,0,1
735,1,0,0,0,0
736,0,0,1,1,2
737,0,0,1,0,1
738,0,0,1,0,2
739,1,0,0,0,0
740,1,0,1,1,2
741,0,1,0,0,1
742,1,0,0,0,0
743,1,0,0,0,0
744,0,0,1,0,1
745,1,0,0,0,2
746,1,0,0,0,0
747,1,0,0,0,0
748,0,0,0,1,1
749,0,1,0,0,1
750,1,0,0,0,0
751,0,1,0,0,3
752,0,1,0,0,2
753,1,0,0,0,0
754,1,0,0,0,1
755,0,1,0,0,1
756,1,0,0,0,0
757,0,0,0,0,1
758,0,1,0,0,1
759,1,0,0,0,0
760,1,0,0,0,0
761,0,0,0,1,2
762,1,0,0,0,0
763,0,1,1,0,2
764,1,0,0,0,0
765,0,0,1,0,1
766,1,0,0,0,0
767,0,0,1,0,1
768,1,0,0,0,0
769,1,0,0,0,0
770,0,0,0,1,1
771,0,0,1,0,2
772,0,0,1,0,1
773,0,1,0,0,1
774,1,0,0,0,0
775,0,0,1,1,2
776,0,0,1,1,3
777,0,0,1,0,1
778,1,0,0,0,0
779,1,0,0,0,0
780,1,0,0,0,0
781,0,1,0,0,1
782,1,0,0,0,0
783,0,1,0,0,3
784,1,0,0,0,0
785,1,0,0,0,0
786,1,0,0,0,0
787,0,0,1,0,2
788,0,1,0,0,1
789,1,0,0,0,0
790,1,0,0,0,2
791,0,1,0,0,1
792,0,1,1,0,2
793,0,1,0,0,1
794,0,0,1,0,2
795,1,0,1,0,2
796,1,0,0,0,0
797,0,1,1,1,3
798,0,0,0,1,1
799,0,1,0,0,1
800,1,0,0,0,0
801,0,0,1,0,1
802,1,0,0,0,0
803,1,0,1,0,1
804,0,0,1,0,1
805,1,1,0,0,1
806,0,0,1,1,2
807,1,0,0,0,0
808,0,0,1,0,1
809,0,1,0,0,1
810,0,0,1,0,1
811,0,0,1,0,1
812,1,0,0,0,0
813,0,0,1,0,1
814,0,0,0,1,1
815,0,0,1,0,1
816,1,0,0,0,0
817,1,0,0,0,0
818,0,1,0,0,2
819,0,1,0,0,1
820,0,1,0,0,1
821,0,0,1,0,2
822,0,1,1,0,2
823,0,0,0,1,1
824,0,1,0,0,1
825,0,0,1,0,2
826,1,0,0,0,0
827,1,0,0,0,0
828,0,0,1,0,1
829,0,1,0,0,1
830,1,0,0,0,0
831,1,0,0,0,0
832,0,0,0,1,1
833,0,1,0,0,1
834,1,0,0,0,1
835,0,0,1,0,1
836,1,0,0,0,0
837,0,1,0,0,1
838,1,0,0,0,0
839,1,0,0,0,0
840,0,0,1,0,1
841,1,0,0,1,4
842,1,0,0,0,0
843,1,0,0,0,0
844,1,0,1,0,1
845,1,0,0,0,0
846,0,1,0,0,1
847,0,1,0,0,1
848,0,0,1,0,1
849,0,1,0,0,1
850,0,0,1,0,1
851,0,1,0,0,1
852,0,1,1,0,2
853,1,0,0,0,0
854,0,0,1,0,2
855,0,0,1,0,1
856,0,0,0,0,1
857,1,0,0,0,2
858,0,0,0,1,2
859,1,0,0,0,0
860,1,0,0,0,0
861,0,0,0,1,1
862,0,1,0,0,1
863,0,0,1,0,1
864,0,0,1,0,1
865,0,1,0,0,1
866,1,0,0,0,0
867,0,0,1,0,1
868,1,0,0,0,0
869,1,0,0,0,0
870,0,0,0,1,2
871,1,0,0,0,0
872,0,1,0,0,1
873,1,0,0,0,0
874,0,1,0,0,1
875,0,0,1,0,1
876,0,0,0,1,1
877,1,0,0,0,0
878,0,1,0,0,1
879,1,0,0,0,0
880,1,0,0,0,0
881,1,0,0,0,0
882,0,0,1,1,2
883,1,0,0,0,1
884,0,1,0,0,1
885,0,0,0,1,3
886,0,0,0,1,1
887,1,0,0,0,0
888,0,1,0,0,1
889,1,0,0,0,0
890,1,0,0,0,0
891,1,0,0,0,0
892,0,1,0,0,1
893,0,1,0,0,1
894,0,0,1,0,2
895,1,0,0,0,0
896,0,0,0,1,2
897,0,0,0,0,1
898,0,0,1,0,1
899,0,1,0,0,2
900,0,0,1,0,1
901,1,0,0,0,0
902,1,0,0,0,0
903,0,0,0,1,2
904,1,0,1,0,1
905,0,0,1,0,1
906,0,0,1,0,1
907,0,0,1,0,1
908,1,0,0,0,1
909,0,0,0,1,1
910,1,0,0,0,0
911,1,0,0,0,0
912,1,0,0,0,0
913,1,0,0,0,0
914,1,0,0,0,0
915,1,0,0,0,0
916,1,0,0,0,0
917,0,1,0,0,1
918,0,0,1,0,1
919,0,1,0,0,1
920,0,0,0,1,1
921,0,0,1,0,1
922,1,0,0,0,0
923,1,0,0,0,0
924,0,0,0,1,1
925,1,0,0,0,0
926,1,1,0,0,2
927,0,0,0,1,1
928,1,0,1,1,3
929,1,0,0,0,0
930,1,0,0,0,0
931,1,0,1,0,1
932,0,1,0,1,2
933,0,0,0,1,1
934,1,0,0,0,0
935,1,0,0,0,0
936,0,0,0,1,1
937,1,0,0,0,0
938,1,0,0,0,0
939,0,1,0,0,1
940,1,0,0,0,1
941,0,1,0,1,2
942,1,0,0,0,0
943,1,0,0,0,0
944,1,0,0,0,0
945,1,0,0,0,0
946,1,0,0,0,0
947,0,0,1,0,1
948,1,0,0,0,0
949,1,0,0,0,0
950,0,1,0,0,1
951,1,0,0,0,0
952,0,0,0,1,1
953,1,0,0,0,0
954,1,0,0,0,0
955,1,0,0,0,0
956,0,0,1,0,1
957,1,0,0,0,0
958,1,0,0,0,0
959,1,0,0,0,0
960,0,0,1,0,1
961,0,0,1,0,1
962,1,0,0,0,0
963,1,0,0,0,0
964,1,0,0,0,1
965,1,0,0,0,0
966,0,0,0,1,1
967,0,1,0,0,2
968,1,0,0,0,0
969,1,0,0,0,0
970,1,0,0,0,0
971,0,0,1,0,1
972,0,1,0,0,1
973,0,1,0,0,1
974,0,1,0,0,1
975,0,1,0,0,1
976,0,1,0,0,1
977,0,0,0,1,2
978,1,0,0,0,0
979,1,0,0,0,0
980,1,0,0,0,0
981,0,0,0,0,1
982,0,0,1,0,2
983,1,0,0,0,0
984,0,1,1,0,2
985,0,1,0,0,1
986,1,0,1,0,1
987,0,1,0,0,1
988,0,1,0,0,2
989,0,0,0,1,1
990,0,1,0,0,1
991,0,0,0,1,1
992,0,1,0,0,2
993,0,0,0,1,1
994,1,0,0,0,0
995,1,0,0,0,0
996,0,1,0,0,1
997,1,0,0,0,0
998,0,1,0,0,1
999,0,1,0,0,1
1000,0,1,0,0,1
1001,0,1,0,0,1
1002,0,0,0,0,1
1003,1,0,0,0,0
1004,0,0,0,0,2
1005,1,0,0,0,0
1006,0,1,0,0,1
1007,0,1,0,0,1
1008,1,0,0,0,0
1009,0,0,1,1,2
1010,1,0,0,0,0
1011,0,1,0,0,2
1012,1,0,0,0,0
1013,0,0,0,1,1
1014,0,0,0,1,2
1015,1,0,0,0,0
1016,0,1,0,0,1
1017,1,1,0,1,3
1018,0,1,0,0,1
1019,0,1,0,0,1
1020,0,0,1,0,3
1021,1,0,0,0,0
1022,0,0,0,1,1
1023,1,0,0,0,0
1024,0,0,1,0,2
1025,1,0,0,0,0
1026,0,0,1,0,1
1027,0,1,0,0,1
1028,0,0,0,1,1
1029,1,0,0,0,0
1030,0,1,0,0,1
1031,0,0,0,1,1
1032,0,0,1,0,1
1033,0,0,1,0,1
1034,1,0,0,0,0
1035,1,0,0,0,0
1036,0,1,0,0,1
1037,0,0,1,0,1
1038,0,1,0,0,1
1039,1,0,0,0,0
1040,1,0,0,0,0
1041,1,0,0,0,1
1042,0,1,0,0,1
1043,1,0,0,0,0
1044,1,0,0,0,0
1045,0,0,0,1,1
1046,0,0,1,0,1
1047,0,0,0,1,1
1048,0,1,0,1,4
1049,1,1,0,0,2
1050,0,0,0,1,1
1051,1,0,0,0,0
1052,0,1,0,0,1
1053,0,0,0,1,1
1054,1,0,0,0,0
1055,1,0,0,0,0
1056,1,0,0,0,0
1057,1,0,0,0,0
1058,0,0,0,1,1
1059,1,0,0,0,0
1060,1,0,0,0,0
1061,1,0,0,0,0
1062,0,0,0,0,1
1063,1,0,0,0,0
1064,1,0,0,0,0
1065,0,1,0,0,1
1066,0,0,1,0,2
1067,0,0,0,0,1
1068,0,1,0,0,1
1069,0,0,1,0,1
1070,1,0,0,0,0
1071,1,0,0,0,0
1072,0,1,0,0,1
1073,1,0,0,0,0
1074,1,0,0,0,0
1075,0,0,0,1,3
1076,0,0,1,0,1
1077,0,0,1,1,3
1078,1,0,0,0,0
1079,0,0,0,1,2
1080,0,0,0,1,2
1081,1,0,0,0,0
1082,0,1,0,0,1
1083,1,0,0,0,0
1084,1,0,0,0,0
1085,0,1,0,0,1
1086,1,0,0,0,0
1087,0,1,0,0,1
1088,0,1,0,0,1
1089,0,0,1,0,1
1090,0,1,0,0,1
1091,1,0,0,0,0
1092,1,0,0,0,0
1093,0,0,1,0,1
1094,1,0,0,0,0
1095,1,0,0,0,0
1096,0,1,0,0,1
1097,0,1,0,0,1
1098,1,0,0,0,0
1099,0,0,1,0,1
1100,1,0,0,0,0
1101,0,1,0,0,2
1102,0,1,0,0,1
1103,1,0,0,0,0
1104,1,0,0,0,0
1105,0,0,1,0,1
1106,0,0,1,0,1
1107,0,1,0,0,1
1108,0,0,1,0,1
1109,1,0,0,0,0
1110,0,0,1,0,1
1111,0,0,0,0,1
1112,1,0,1,1,2
1113,1,0,0,0,1
1114,1,0,0,0,0
1115,0,0,0,1,1
1116,0,0,0,1,1
1117,1,0,0,0,0
1118,0,1,0,0,1
1119,1,0,0,0,0
1120,0,1,0,0,3
1121,1,1,1,0,2
1122,0,0,1,0,1
1123,0,0,0,1,1
1124,1,0,0,0,0
1125,1,0,0,0,0
1126,1,0,0,0,0
1127,1,0,0,0,0
1128,1,0,0,0,0
1129,0,0,1,0,1
1130,0,1,0,0,1
1131,1,0,1,1,2
1132,1,0,1,0,1
1133,0,0,0,1,1
1134,1,1,0,0,1
1135,0,1,0,0,1
1136,0,0,1,0,1
1137,0,0,0,1,1
1138,0,0,1,0,1
1139,0,0,1,0,3
1140,0,1,0,0,1
1141,1,0,0,0,0
1142,1,0,0,0,0
1143,0,0,1,0,1
1144,0,1,0,0,1
1145,0,0,1,0,3
